Stkcd,Accper,eps,eps_diluted,ttl_shr_cap,
338,31/3/2013,0.41,0.41,,
338,30/6/2013,1.04,1.04,1999309639,
338,30/9/2013,1.35,1.35,,
338,31/12/2013,1.79,0,1999309639,
338,31/3/2014,0.53,0,,
338,30/6/2014,1.88,0,1999309639,
338,30/9/2014,2.22,0,,
338,31/12/2014,2.51,2.51,1999309639,
338,31/3/2015,0.3,0.3,,
338,30/6/2015,0.24,0.24,3998619278,
338,30/9/2015,0.26,0.26,,
338,31/12/2015,0.35,0.35,3998619278,
338,31/3/2016,0.11,0.11,,
338,30/6/2016,0.26,0.26,3998619278,
338,30/9/2016,0.38,0.38,,
338,31/12/2016,0.61,0.61,3998619278,
338,31/3/2017,0.3,0.3,,
338,30/6/2017,0.33,0.33,3998619278,
338,30/9/2017,0.58,0.58,,
338,31/12/2017,0.85,0.85,7997238556,
338,31/3/2018,0.24,0.24,,
338,30/6/2018,0.55,0.55,7997238556,
338,30/9/2018,0.73,0.73,,
338,31/12/2018,1.08,1.08,7997238556,
338,31/3/2019,0.33,0.33,,
338,30/6/2019,0.67,0.67,7997238556,
338,30/9/2019,0.89,0.89,,
338,31/12/2019,1.15,1.15,7997238556,
338,31/3/2020,0.26,0.26,,
338,30/6/2020,0.59,0.59,7997238556,
338,30/9/2020,0.9,0.9,,
488,31/3/2007,0.12,0.1,,
488,30/6/2007,0.26,0.26,1706345941,
488,30/9/2007,0.46,0.46,,
488,31/12/2007,0.6,0.59,1706345941,
488,31/3/2008,0.28,0.28,,
488,30/6/2008,0.55,0,2062045941,
488,30/9/2008,0.69,0,,
488,31/12/2008,0.57,0,2062045941,
488,31/3/2009,0.0038,0,,
488,30/6/2009,0.076,0,2062045941,
488,30/9/2009,0.22,0,,
488,31/12/2009,0.41,0,2062045941,
488,31/3/2010,0.12,0,,
488,30/6/2010,0.29,0.29,2062045941,
488,30/9/2010,0.41,0,,
488,31/12/2010,0.56,0.56,2062045941,
488,31/3/2011,0.11,0,,
488,30/6/2011,0.23,0,2062045941,
488,30/9/2011,0.31,0,,
488,31/12/2011,0.29,0.29,2062045941,
488,31/3/2012,0.0075,0,,
488,30/6/2012,0.05,0.05,2062045941,
488,30/9/2012,0.06,0.06,,
488,31/12/2012,0.11,0.11,2062045941,
488,31/3/2013,0.03,0.03,,
488,30/6/2013,0.16,0.16,2062045941,
488,30/9/2013,0.26,0.26,,
488,31/12/2013,0.35,0.35,1975471967,
488,31/3/2014,0.04,0.04,,
488,30/6/2014,0.12,0.12,1936405467,
488,30/9/2014,0.18,0.18,,
488,31/12/2014,0.26,0.26,1936405467,
488,31/3/2015,0.05,0.05,,
488,30/6/2015,0.14,0.14,1936405467,
488,30/9/2015,0.29,0.29,,
488,31/12/2015,0.5,0.5,1936405467,
488,31/3/2016,0.18,0.18,,
488,30/6/2016,0.45,0.45,1936405467,
488,30/9/2016,0.74,0.74,,
488,31/12/2016,0.99,0.99,1936405467,
488,31/3/2017,0.29,0.29,,
488,30/6/2017,0.75,0.75,1936405467,
488,30/9/2017,1.16,1.16,,
488,31/12/2017,1.7,1.7,1936405467,
488,31/3/2018,0.31,0.31,,
488,30/6/2018,0.36,0.36,1936405467,
488,30/9/2018,0.54,0.54,,
488,31/12/2018,0.51,0.51,2904608200,
488,31/3/2019,-0.037,-0.037,,
488,30/6/2019,0.013,0.013,2904608200,
488,30/9/2019,0.15,0.15,,
488,31/12/2019,0.33,0.33,2904608200,
488,31/3/2020,0.019,0.019,,
488,30/6/2020,0.051,0.051,2904608200,
488,30/9/2020,0.187,0.187,,
513,31/3/2007,0.43,0.43,,
513,30/6/2007,0.76,0.76,306035482,
513,30/9/2007,1.47,1.47,,
513,31/12/2007,1.66,1.66,306035482,
513,31/3/2008,0.17,0.17,,
513,30/6/2008,0.2,0.2,306035482,
513,30/9/2008,0.17,0.17,,
513,31/12/2008,0.17,0.17,306035482,
513,31/3/2009,0.39,0.39,,
513,30/6/2009,0.83,0.83,306035482,
513,30/9/2009,1.16,1.16,,
513,31/12/2009,1.61,1.61,295721852,
513,31/3/2010,0.43,0.43,,
513,30/6/2010,0.82,0.82,295721852,
513,30/9/2010,1.11,1.11,,
513,31/12/2010,1.41,1.41,295721852,
513,31/3/2011,0.43,0.43,,
513,30/6/2011,0.75,0.75,295721852,
513,30/9/2011,0.95,0.95,,
513,31/12/2011,1.22,1.22,295721852,
513,31/3/2012,0.4,0.4,,
513,30/6/2012,0.77,0.77,295721852,
513,30/9/2012,1.16,1.16,,
513,31/12/2012,1.49,1.49,295721852,
513,31/3/2013,0.5,0.5,,
513,30/6/2013,0.88,0.88,295721852,
513,30/9/2013,1.28,1.28,,
513,31/12/2013,1.65,1.65,295721852,
513,31/3/2014,0.48,0.48,,
513,30/6/2014,0.98,0.98,295721852,
513,30/9/2014,1.43,1.43,,
513,31/12/2014,1.74,1.74,295721852,
513,31/3/2015,0.62,0.62,,
513,30/6/2015,1.14,1.14,304382252,
513,30/9/2015,1.27,1.27,,
513,31/12/2015,1.62,1.6,396889547,
513,31/3/2016,0.6,0.59,,
513,30/6/2016,1.04,1.04,396889547,
513,30/9/2016,1.57,1.57,,
513,31/12/2016,1.98,1.97,425730126,
513,31/3/2017,0.66,0.65,,
513,30/6/2017,1.19,1.19,425562592,
513,30/9/2017,7.76,7.72,,
513,31/12/2017,8.09,8.06,553231369,
513,31/3/2018,0.63,0.63,,
513,30/6/2018,0.88,0.88,719050240,
513,30/9/2018,1.31,1.31,,
513,31/12/2018,1.51,1.51,719050240,
513,31/3/2019,0.55,0.55,,
513,30/6/2019,1.03,1.03,719050240,
513,30/9/2019,1.11,1.11,,
513,31/12/2019,1.39,1.39,934762675,
513,31/3/2020,0.43,0.43,,
513,30/6/2020,1.07,1.07,940773461,
513,30/9/2020,1.52,1.51,,
585,31/3/2007,0.009,0.009,,ST
585,30/6/2007,0,0,873370000,
585,30/9/2007,-0.01,-0.01,,
585,31/12/2007,-0.36,-0.36,873370000,
585,31/3/2008,0.0003,0.0003,,
585,30/6/2008,0.0006,0.0006,873370000,
585,30/9/2008,-0.0035,-0.0035,,
585,31/12/2008,-0.08,-0.08,873370000,
585,31/3/2009,-0.0098,-0.0098,,
585,30/6/2009,-0.0118,-0.0118,873370000,
585,30/9/2009,-0.14,-0.14,,
585,31/12/2009,0.01,0.01,873370000,
585,31/3/2010,-0.01,-0.01,,
585,30/6/2010,0.0006,0.0006,873370000,
585,30/9/2010,-0.0093,-0.0093,,
585,31/12/2010,-0.01,-0.01,873370000,
585,31/3/2011,0.0172,0.0172,,
585,30/6/2011,0.0229,0.0229,873370000,
585,30/9/2011,0.0176,0.0176,,
585,31/12/2011,-0.04,-0.04,873370000,
585,31/3/2012,-0.0094,-0.0094,,
585,30/6/2012,-0.0206,-0.0206,873370000,
585,30/9/2012,-0.0123,-0.0123,,
585,31/12/2012,0.01,0.01,873370000,
585,31/3/2013,-0.0013,-0.0013,,
585,30/6/2013,-0.0005,-0.0005,873370000,
585,30/9/2013,-0.0017,-0.0017,,
585,31/12/2013,0.01,0.01,873370000,
585,31/3/2014,-0.004,-0.004,,
585,30/6/2014,-0.0021,-0.0021,873370000,
585,30/9/2014,-0.001,-0.001,,
585,31/12/2014,0.01,0.01,873370000,
585,31/3/2015,-0.003,-0.003,,
585,30/6/2015,-0.0018,-0.0018,873370000,
585,30/9/2015,-0.0011,-0.0011,,
585,31/12/2015,0.01,0.01,873370000,
585,31/3/2016,-0.0053,-0.0053,,
585,30/6/2016,-0.0151,-0.0151,873370000,
585,30/9/2016,-0.0268,-0.0268,,
585,31/12/2016,-0.1139,-0.1139,873370000,
585,31/3/2017,-0.0178,-0.0178,,
585,30/6/2017,-0.0228,-0.0228,873370000,
585,30/9/2017,-0.0319,-0.0319,,
585,31/12/2017,-0.45,-0.45,873370000,
585,31/3/2018,-0.0053,-0.0053,,
585,30/6/2018,-0.0162,-0.0162,873370000,
585,30/9/2018,0.0111,0.0111,,
585,31/12/2018,0.02,0.02,873370000,
585,31/3/2019,-0.0057,-0.0057,,
585,30/6/2019,-0.0045,-0.0045,873370000,
585,30/9/2019,-0.0065,-0.0065,,
585,31/12/2019,-0.05,-0.05,873370000,
585,31/3/2020,-0.0043,-0.0043,,
585,30/6/2020,-0.0135,-0.0135,873370000,
585,30/9/2020,0.1874,0.1874,,
756,31/3/2007,0.02,0.02,,
756,30/6/2007,0.04,0.04,457312830,
756,30/9/2007,0.05,0.05,,
756,31/12/2007,0.07,0.07,457312830,
756,31/3/2008,0.03,0.03,,
756,30/6/2008,0.04,0.04,457312830,
756,30/9/2008,0.0559,0.0559,,
756,31/12/2008,0.07,0.07,457312830,
756,31/3/2009,0.04,0.04,,
756,30/6/2009,0.09,0.09,457312830,
756,30/9/2009,0.14,0.14,,
756,31/12/2009,0.22,0.22,457312830,
756,31/3/2010,0.06,0.06,,
756,30/6/2010,0.13,0.13,457312830,
756,30/9/2010,0.2,0.2,,
756,31/12/2010,0.21,0.21,457312830,
756,31/3/2011,0.06,0.06,,
756,30/6/2011,0.13,0.13,457312830,
756,30/9/2011,0.17,0.17,,
756,31/12/2011,0.17,0.17,457312830,
756,31/3/2012,0.03,0.03,,
756,30/6/2012,0.07,0.07,457312830,
756,30/9/2012,0.07,0.07,,
756,31/12/2012,0.05,0.05,457312830,
756,31/3/2013,-0.02,-0.02,,
756,30/6/2013,0.01,0.01,457312830,
756,30/9/2013,0.08,0.08,,
756,31/12/2013,0.08,0.08,457312830,
756,31/3/2014,0.01,0.01,,
756,30/6/2014,0.09,0.09,457312830,
756,30/9/2014,0.11,0.11,,
756,31/12/2014,0.11,0.11,457312830,
756,31/3/2015,0.03,0.03,,
756,30/6/2015,0.06,0.06,457312830,
756,30/9/2015,0.14,0.14,,
756,31/12/2015,0.18,0.18,457312830,
756,31/3/2016,0.04,0.04,,
756,30/6/2016,0.1,0.1,457312830,
756,30/9/2016,0.2,0.2,,
756,31/12/2016,0.27,0.27,457312830,
756,31/3/2017,0.11,0.11,,
756,30/6/2017,0.23,0.23,457312830,
756,30/9/2017,0.38,0.38,,
756,31/12/2017,0.45,0.45,478353421,
756,31/3/2018,0.14,0.14,,
756,30/6/2018,0.26,0.26,478353421,
756,30/9/2018,0.31,0.31,,
756,31/12/2018,0.4,0.4,621859447,
756,31/3/2019,0.12,0.12,,
756,30/6/2019,0.24,0.24,621859447,
756,30/9/2019,0.38,0.38,,
756,31/12/2019,0.48,0.48,621859447,
756,31/3/2020,0.14,0.14,,
756,30/6/2020,0.28,0.28,621859447,
756,30/9/2020,0.4,0.4,,
776,31/3/2007,0.01,0.01,,
776,30/6/2007,0.05,0.05,184109987,
776,30/9/2007,0.06,0.06,,
776,31/12/2007,0.06,0.06,184109987,
776,31/3/2008,0.01,0.01,,
776,30/6/2008,0.04,0.04,184109987,
776,30/9/2008,0.07,0.07,,
776,31/12/2008,0.069,0.069,184109987,
776,31/3/2009,0.01,0.01,,
776,30/6/2009,0.03,0.03,184109987,
776,30/9/2009,0.05,0.05,,
776,31/12/2009,-0.04,-0.04,184109987,
776,31/3/2010,0.36,0.36,,
776,30/6/2010,0.66,0.66,2507045732,
776,30/9/2010,1.1,1.1,,
776,31/12/2010,1.62,1.62,2507045732,
776,31/3/2011,0.27,0.27,,
776,30/6/2011,0.54,0.54,2507045732,
