Indexcd,Trddt,Idxret
399107,17/7/2017,-4.2867
399107,18/7/2017,0.5981
399107,19/7/2017,1.5331
399107,20/7/2017,0.4852
399107,21/7/2017,-0.1183
399107,24/7/2017,0.4797
399107,25/7/2017,-0.3278
399107,26/7/2017,-0.2968
399107,27/7/2017,1.2424
399107,28/7/2017,0.13
399107,31/7/2017,0.5744
399107,1/8/2017,0.1803
399107,2/8/2017,-0.7001
399107,3/8/2017,-0.0048
399107,4/8/2017,-0.5749
399107,7/8/2017,0.7439
399107,8/8/2017,0.3681
399107,9/8/2017,0.341
399107,10/8/2017,-0.6884
399107,11/8/2017,-1.6032
399107,14/8/2017,2.0214
399107,15/8/2017,0.4013
399107,16/8/2017,0.5911
399107,17/8/2017,0.5811
399107,18/8/2017,-0.3749
399107,21/8/2017,0.7481
399107,22/8/2017,-0.4228
399107,23/8/2017,-0.3316
399107,24/8/2017,-0.605
399107,25/8/2017,1.0427
399107,28/8/2017,1.3985
399107,29/8/2017,-0.2416
399107,30/8/2017,0.355
399107,31/8/2017,0.3129
399107,1/9/2017,0.5881
399107,4/9/2017,0.6033
399107,5/9/2017,0.2038
399107,6/9/2017,0.3772
399107,7/9/2017,-0.3439
399107,8/9/2017,0.1556
399107,11/9/2017,0.8036
399107,12/9/2017,-0.2786
399107,13/9/2017,0.4409
399107,14/9/2017,-0.0721
399107,15/9/2017,-0.2809
399107,18/9/2017,0.7441
399107,19/9/2017,-0.3572
399107,20/9/2017,0.8352
399107,21/9/2017,-0.8385
399107,22/9/2017,-0.3432
399107,25/9/2017,-1.2433
399107,26/9/2017,0.0062
399107,27/9/2017,0.7772
399107,28/9/2017,-0.2287
399107,29/9/2017,0.694
399107,9/10/2017,1.3065
399107,10/10/2017,0.7828
399107,11/10/2017,-0.1837
399107,12/10/2017,-0.1537
399107,13/10/2017,0.6663
399107,16/10/2017,-1.5186
399107,17/10/2017,0.1063
399107,18/10/2017,-0.3969
399107,19/10/2017,-0.8208
399107,20/10/2017,0.805
399107,23/10/2017,0.6198
399107,24/10/2017,-0.1193
399107,25/10/2017,0.7794
399107,26/10/2017,0.2486
399107,27/10/2017,-0.3381
399107,30/10/2017,-1.7323
399107,31/10/2017,0.6932
399107,1/11/2017,0.057
399107,2/11/2017,-0.6731
399107,3/11/2017,-0.7075
399107,6/11/2017,1.1824
399107,7/11/2017,0.6727
399107,8/11/2017,0.0479
399107,9/11/2017,0.746
399107,10/11/2017,0.5169
399107,13/11/2017,0.2956
399107,14/11/2017,-0.9471
399107,15/11/2017,-0.9963
399107,16/11/2017,0.2266
399107,17/11/2017,-2.7794
399107,20/11/2017,0.9069
399107,21/11/2017,0.7865
399107,22/11/2017,-0.2604
399107,23/11/2017,-2.9221
399107,24/11/2017,-0.0874
399107,27/11/2017,-1.5522
399107,28/11/2017,1.3497
399107,29/11/2017,0.0369
399107,30/11/2017,-0.8909
399107,1/12/2017,0.7826
399107,4/12/2017,-0.7296
399107,5/12/2017,-1.8899
399107,6/12/2017,0.6825
399107,7/12/2017,-0.5978
399107,8/12/2017,1.2349
399107,11/12/2017,1.4917
399107,12/12/2017,-0.9719
399107,13/12/2017,0.7721
399107,14/12/2017,-0.0402
399107,15/12/2017,-0.72
399107,18/12/2017,-0.6366
399107,19/12/2017,0.8724
399107,20/12/2017,-0.7412
399107,21/12/2017,0.7171
399107,22/12/2017,-0.1835
399107,25/12/2017,-0.9316
399107,26/12/2017,0.4316
399107,27/12/2017,-0.7001
399107,28/12/2017,0.4539
399107,29/12/2017,0.6366
399107,2/1/2018,1.0455
399107,3/1/2018,0.771
399107,4/1/2018,0.36
399107,5/1/2018,0.0424
399107,8/1/2018,0.2155
399107,9/1/2018,0.3173
399107,10/1/2018,-0.3356
399107,11/1/2018,0.3849
399107,12/1/2018,-0.2146
399107,15/1/2018,-1.807
399107,16/1/2018,0.7186
399107,17/1/2018,-0.3023
399107,18/1/2018,0.1262
399107,19/1/2018,-0.1386
399107,22/1/2018,1.1654
399107,23/1/2018,0.3664
399107,24/1/2018,0.5107
399107,25/1/2018,-0.3898
399107,26/1/2018,-0.1598
399107,29/1/2018,-1.5605
399107,30/1/2018,-0.533
399107,31/1/2018,-1.6675
399107,1/2/2018,-3.0282
399107,2/2/2018,0.0242
399107,5/2/2018,-0.8367
399107,6/2/2018,-4.4456
399107,7/2/2018,-0.6795
399107,8/2/2018,1.1794
399107,9/2/2018,-3.1884
399107,12/2/2018,2.6496
399107,13/2/2018,0.4098
399107,14/2/2018,0.4801
399107,22/2/2018,1.8896
399107,23/2/2018,0.1822
399107,26/2/2018,2.2504
399107,27/2/2018,-0.3363
399107,28/2/2018,0.1605
399107,1/3/2018,1.2303
399107,2/3/2018,-0.6449
399107,5/3/2018,0.4787
399107,6/3/2018,1.1691
399107,7/3/2018,-0.7771
399107,8/3/2018,1.0136
399107,9/3/2018,1.5597
399107,12/3/2018,1.2442
399107,13/3/2018,-0.7109
399107,14/3/2018,-0.8874
399107,15/3/2018,-0.2189
399107,16/3/2018,-0.6086
399107,19/3/2018,0.2713
399107,20/3/2018,0.2313
399107,21/3/2018,-0.7347
399107,22/3/2018,-0.4852
399107,23/3/2018,-4.4926
399107,26/3/2018,1.3478
399107,27/3/2018,2.202
399107,28/3/2018,-0.9474
399107,29/3/2018,0.979
399107,30/3/2018,1.2919
399107,2/4/2018,0.1591
399107,3/4/2018,-0.7774
399107,4/4/2018,-0.5737
399107,9/4/2018,0.0088
399107,10/4/2018,0.5143
399107,11/4/2018,0.5298
399107,12/4/2018,-0.5777
399107,13/4/2018,-0.3218
399107,16/4/2018,-0.5224
399107,17/4/2018,-2.2083
399107,18/4/2018,1.0867
399107,19/4/2018,0.6004
399107,20/4/2018,-2.0003
399107,23/4/2018,-0.7971
399107,24/4/2018,2.2833
399107,25/4/2018,0.2714
399107,26/4/2018,-2.1512
399107,27/4/2018,0.3251
399107,2/5/2018,-0.0664
399107,3/5/2018,1.0159
399107,4/5/2018,-0.2144
399107,7/5/2018,1.8523
399107,8/5/2018,0.7698
399107,9/5/2018,-0.09
399107,10/5/2018,0.5166
399107,11/5/2018,-1.0287
