Stkcd,Name,Annodt,Year Ended,Event,Particular,Type,Ex-Date,Book Close Date,Payable Date
,,28/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
,,24/8/2016,Dec-16,Interim,D:RMB 0.0213,Cash,13/9/2016,2016/09/15-2016/09/20,28/10/2016
,,28/4/2016,Dec-16,Quarter 1,No Dividend,-,-,-,-
,,23/3/2016,Dec-15,Final,D:RMB 0.02486(equivalent to HKD 0.02950),Cash,31/5/2016,2016/06/02-2016/06/07,14/7/2016
,,29/10/2015,Dec-15,Quarter 3,No Dividend,-,-,-,-
,,27/8/2015,Dec-15,Interim,D:RMB 0.06247(equivalent to HKD 0.07577),Cash,10/9/2015,2015/09/12-2015/09/17,27/10/2015
,,27/4/2015,Dec-15,Quarter 1,No Dividend,-,-,-,-
,,26/3/2015,Dec-14,Final,D:RMB 0.09601(equivalent to HKD 0.12174),Cash,30/6/2015,2015/07/03-2015/07/08,13/8/2015
,,29/10/2014,Dec-14,Quarter 3,No Dividend,-,-,-,-
,,28/8/2014,Dec-14,Interim,D:RMB 0.1675(equivalent to HKD 0.21065),Cash,11/9/2014,2014/09/13-2014/09/18,29/9/2014
,,24/4/2014,Dec-14,Quarter 1,No Dividend,-,-,-,-
,,20/3/2014,Dec-13,Final,D:RMB 0.15755(equivalent to HKD 0.19816),Cash,28/5/2014,2014/05/30-2014/06/04,17/7/2014
,,29/10/2013,Dec-13,Quarter 3,No Dividend,-,-,-,-
,,22/8/2013,Dec-13,Interim,D:RMB 0.1611(equivalent to HKD 0.2025),Cash,4/9/2013,2013/09/06-2013/09/11,24/10/2013
,,25/4/2013,Dec-13,Quarter 1,No Dividend,-,-,-,-
,,21/3/2013,Dec-12,Final,D:RMB 0.13106(equivalent to HKD 0.16414),Cash,29/5/2013,2013/05/31-2013/06/05,18/7/2013
,,30/10/2012,Dec-12,Quarter 3,No Dividend,-,-,-,-
,,23/8/2012,Dec-12,Interim,D:RMB 0.1525,Cash,5/9/2012,2012/09/07-2012/09/12,24/10/2012
,,26/4/2012,Dec-12,Quarter 1,No Dividend,-,-,-,-
,,29/3/2012,Dec-11,Final,D:RMB 0.16462,Cash,30/5/2012,2012/06/01-2012/06/06,12/7/2012
,,27/10/2011,Dec-11,Quarter 3,No Dividend,-,-,-,-
,,25/8/2011,Dec-11,Interim,D:RMB 0.16229,Cash,7/9/2011,2011/09/09-2011/09/14,21/10/2011
,,27/4/2011,Dec-11,Quarter 1,No Dividend,-,-,-,-
,,17/3/2011,Dec-10,Final,D:RMB 0.18357,Cash,24/5/2011,2011/05/26-2011/05/31,30/6/2011
,,17/10/2010,Dec-10,Quarter 3,No Dividend,-,-,-,-
,,26/8/2010,Dec-10,Interim,D:RMB 0.16063,Cash,8/9/2010,2010/09/10-2010/09/15,15/10/2010
,,27/4/2010,Dec-10,Quarter 1,No Dividend,-,-,-,-
,,25/3/2010,Dec-09,Final,D:RMB 0.13003,Cash,26/5/2010,2010/05/28-2010/06/02,30/6/2010
,,28/10/2009,Dec-09,Quarter 3,No Dividend,-,-,-,-
,,28/8/2009,Dec-09,Interim,D:RMB 0.12417,Cash,10/9/2009,2009/09/12-2009/09/16,16/10/2009
,,27/4/2009,Dec-09,Quarter 1,No Dividend,-,-,-,-
,,25/3/2009,Dec-08,Final,D:RMB 0.14953,Cash,19/5/2009,2009/05/21-2009/05/27,19/6/2009
,,27/8/2008,Dec-08,Interim,D:RMB 0.131827,Cash,9/9/2008,2008/09/11-2008/09/18,16/10/2008
,,19/3/2008,Dec-07,Final,D: RMB 0.156859,Cash,20/5/2008,2008/05/22-2008/05/28,13/6/2008
,,6/9/2007,Dec-07,Interim,D: RMB 0.20569,Cash,5/9/2007,2007/09/07-2007/09/13,28/9/2007
,,19/3/2007,Dec-06,Final,D: RMB 0.154699,Cash,12/4/2007,2007/04/16-2007/05/16,1/6/2007
,,23/8/2006,Dec-06,Interim,D: RMB 0.202806,Cash,6/9/2006,2006/09/08-2006/09/13,26/9/2006
,,20/3/2006,Dec-05,Final,D: RMB 0.180325,Cash,24/4/2006,2006/04/26-2006/05/26,9/6/2006
,,24/8/2005,Dec-05,Interim,D: RMB 0.157719,Cash,7/9/2005,2005/09/09-2005/09/14,30/9/2005
,,16/3/2005,Dec-04,Final,D: RMB 0.1475,Cash,22/4/2005,2005/04/26-2005/05/26,10/6/2005
,,26/8/2004,Dec-04,Interim,D: RMB 0.1159,Cash,9/9/2004,2004/09/11-2004/09/16,8/10/2004
,,24/3/2004,Dec-03,Final,D: RMB 0.0793,Cash,15/4/2004,2004/04/18-2004/05/18,2/6/2004
,,27/8/2003,Dec-03,Interim,D: RMB 0.0988,Cash,9/9/2003,2003/09/11-2003/09/16,8/10/2003
,,31/3/2003,Dec-02,Final,D: RMB 0.0700,Cash,24/4/2003,2003/04/28-2003/05/28,12/6/2003
,,29/8/2002,Dec-02,Interim,D: RMB 0.0501,Cash,11/9/2002,2002/09/13-2002/09/18,8/10/2002
