Stkcd,Name,Annodt,Year Ended,Event,Particular,Type,Ex-Date,Book Close Date,Payable Date
,,28/3/2011,Dec-10,Final,No Dividend,-,-,-,-
,,16/8/2010,Dec-10,Interim,No Dividend,-,-,-,-
,,12/4/2010,Dec-09,Final,No Dividend,-,-,-,-
,,30/8/2009,Dec-09,Interim,No Dividend,-,-,-,-
,,14/4/2009,Dec-08,Final,No Dividend,-,-,-,-
,,18/8/2008,Dec-08,Interim,No Dividend,-,-,-,-
,,21/4/2008,Dec-08,Special,B: 5 - for - 10,Scrip,4/9/2008,2008/09/08-2008/09/10,16/9/2008
,,20/4/2008,Dec-07,Final,No Dividend,-,-,-,-
,,24/8/2007,Dec-07,Interim,No Dividend,-,-,-,-
,,17/4/2007,Dec-06,Final,No Dividend,-,-,-,-
,,17/8/2006,Dec-06,Interim,No Dividend,-,-,-,-
,,19/4/2006,Dec-05,Final,No Dividend,-,-,-,-
,,26/8/2005,Dec-05,Interim,No Dividend,-,-,-,-
,,25/4/2005,Dec-04,Final,No Dividend,-,-,-,-
,,26/8/2004,Dec-04,Interim,No Dividend,-,-,-,-
,,23/4/2004,Dec-03,Final,No Dividend,-,-,-,-
,,28/8/2003,Dec-03,Interim,No Dividend,-,-,-,-
,,14/3/2003,Dec-02,Final,No Dividend,-,-,-,-
,,12/4/2002,Dec-01,Final,D: RMB 0.0200,Cash,23/5/2002,2002/05/26-2002/06/24,-
1057,????,26/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,23/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,28/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,31/3/2020,Dec-19,Final,No Dividend,-,-,-,-
,,27/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,25/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,26/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,25/3/2019,Dec-18,Final,No Dividend,-,-,-,-
,,29/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,19/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,25/3/2018,Dec-17,Final,No Dividend,-,-,-,-
,,22/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,20/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,26/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,27/3/2017,Dec-16,Final,D:RMB 0.1000(equivalent to HKD 0.1145),Cash,4/7/2017,2017/07/06-2017/07/11,28/7/2017
,,27/3/2017,Dec-16,Final,B:15-for-10,Scrip,4/7/2017,2017/07/06-2017/07/11,28/7/2017
,,21/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
,,28/8/2016,Dec-16,Interim,No Dividend,-,-,-,-
,,28/3/2016,Dec-15,Final,D:RMB 0.1000(equivalent to HKD 0.1179),Cash,24/6/2016,2016/06/28-2016/07/03,15/7/2016
,,25/10/2015,Dec-15,Quarter 3,No Dividend,-,-,-,-
,,23/8/2015,Dec-15,Interim,No Dividend,-,-,-,-
,,26/4/2015,Dec-15,Quarter 1,No Dividend,-,-,-,-
,,29/3/2015,Dec-14,Final,D:RMB 0.1000(equivalent to HKD 0.1268),Cash,3/7/2015,2015/07/07-2015/07/12,31/7/2015
,,26/10/2014,Dec-14,Quarter 3,No Dividend,-,-,-,-
,,21/8/2014,Dec-14,Interim,No Dividend,-,-,-,-
,,28/4/2014,Dec-14,Quarter 1,No Dividend,-,-,-,-
,,24/3/2014,Dec-13,Final,D:RMB 0.0800(equivalent to HKD 0.1008),Cash,3/7/2014,2014/07/07-2014/07/12,31/7/2014
,,22/10/2013,Dec-13,Quarter 3,No Dividend,-,-,-,-
,,25/8/2013,Dec-13,Interim,No Dividend,-,-,-,-
,,21/4/2013,Dec-13,Quarter 1,No Dividend,-,-,-,-
,,24/3/2013,Dec-12,Final,D:RMB 0.0800(equivalent to HKD 0.1007),Cash,18/6/2013,2013/06/20-2013/06/25,12/7/2013
,,1/11/2012,Dec-12,Quarter 3,No Dividend,-,-,-,-
,,29/8/2012,Dec-12,Interim,No Dividend,-,-,-,-
,,18/3/2012,Dec-11,Final,D:RMB 0.1000,Cash,29/5/2012,2012/05/31-2012/06/05,22/6/2012
,,28/8/2011,Dec-11,Interim,No Dividend,-,-,-,-
,,18/3/2011,Dec-10,Final,D:RMB 0.0900,Cash,11/4/2011,2011/04/13-2011/05/13,27/5/2011
,,8/11/2010,Dec-10,Quarter 3,No Dividend,-,-,-,-
,,6/8/2010,Dec-10,Interim,No Dividend,-,-,-,-
,,11/5/2010,Dec-10,Quarter 1,No Dividend,-,-,-,-
,,22/3/2010,Dec-09,Final,D:RMB 0.0700,Cash,8/4/2010,2010/04/10-2010/05/10,24/5/2010
,,4/11/2009,Dec-09,Quarter 3,No Dividend,-,-,-,-
,,7/8/2009,Dec-09,Interim,No Dividend,-,-,-,-
,,8/5/2009,Dec-09,Quarter 1,No Dividend,-,-,-,-
,,20/3/2009,Dec-08,Final,D:RMB 0.0500,Cash,4/5/2009,2009/05/06-2009/06/05,19/6/2009
,,7/11/2008,Dec-08,Quarter 3,No Dividend,-,-,-,-
,,8/8/2008,Dec-08,Interim,No Dividend,-,-,-,-
,,9/5/2008,Dec-08,Quarter 1,No Dividend,-,-,-,-
,,24/3/2008,Dec-07,Final,D: RMB 0.0500,Cash,8/5/2008,2008/05/13-2008/06/12,27/6/2008
,,9/11/2007,Dec-07,Quarter 3,No Dividend,-,-,-,-
,,12/8/2007,Dec-07,Interim,No Dividend,-,-,-,-
,,14/5/2007,Dec-07,Quarter 1,No Dividend,-,-,-,-
,,26/3/2007,Dec-06,Final,D: RMB 0.0500,Cash,26/4/2007,2007/04/30-2007/05/31,22/6/2007
,,8/11/2006,Dec-06,Quarter 3,No Dividend,-,-,-,-
,,11/8/2006,Dec-06,Interim,No Dividend,-,-,-,-
1065,????????,27/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,26/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,27/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,27/3/2020,Dec-19,Final,D:RMB 0.1070(equivalent to HKD 0.116753),Cash,20/5/2020,2020/05/22-2020/05/27,10/7/2020
,,25/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,26/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,23/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,28/3/2019,Dec-18,Final,D:RMB 0.1060(equivalent to HKD 0.120595),Cash,20/5/2019,2019/05/22-2019/05/27,10/7/2019
,,24/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,28/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,24/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,27/3/2018,Dec-17,Final,No Dividend,-,-,-,-
,,26/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,29/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,26/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,29/3/2017,Dec-16,Final,D:RMB 0.0950(equivalent to HKD 0.10769),Cash,22/5/2017,2017/05/24-2017/05/29,13/7/2017
,,27/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
,,26/8/2016,Dec-16,Interim,No Dividend,-,-,-,-
,,27/4/2016,Dec-16,Quarter 1,No Dividend,-,-,-,-
,,29/3/2016,Dec-15,Final,D:RMB 0.0700(equivalent to HKD 0.08266),Cash,30/5/2016,2016/06/01-2016/06/06,20/7/2016
,,29/10/2015,Dec-15,Quarter 3,No Dividend,-,-,-,-
,,27/8/2015,Dec-15,Interim,No Dividend,-,-,-,-
,,29/4/2015,Dec-15,Quarter 1,No Dividend,-,-,-,-
,,26/3/2015,Dec-14,Final,D:RMB 0.0700(equivalent to HKD 0.08870),Cash,1/6/2015,2015/06/03-2015/06/08,17/7/2015
,,30/10/2014,Dec-14,Quarter 3,No Dividend,-,-,-,-
,,29/8/2014,Dec-14,Interim,No Dividend,-,-,-,-
,,24/4/2014,Dec-14,Quarter 1,No Dividend,-,-,-,-
,,27/3/2014,Dec-13,Final,D:RMB 0.0800(equivalent to HKD 0.10085),Cash,9/6/2014,2014/06/11-2014/06/16,31/7/2014
,,29/10/2013,Dec-13,Quarter 3,No Dividend,-,-,-,-
,,29/8/2013,Dec-13,Interim,No Dividend,-,-,-,-
,,24/4/2013,Dec-13,Quarter 1,No Dividend,-,-,-,-
,,28/3/2013,Dec-12,Final,D:RMB 0.0600(equivalent to HKD 0.07530),Cash,23/5/2013,2013/05/25-2013/05/30,12/7/2013
,,23/8/2012,Dec-12,Interim,No Dividend,-,-,-,-
,,22/3/2012,Dec-11,Final,D:RMB 0.0400,Cash,16/5/2012,2012/05/18-2012/05/23,10/7/2012
,,24/8/2011,Dec-11,Interim,No Dividend,-,-,-,-
,,24/3/2011,Dec-10,Final,D:RMB 0.1100,Cash,11/4/2011,2011/04/13-2011/05/13,12/7/2011
,,19/8/2010,Dec-10,Interim,No Dividend,-,-,-,-
,,25/3/2010,Dec-09,Final,D:RMB 0.0800,Cash,9/4/2010,2010/04/13-2010/05/13,9/7/2010
,,21/8/2009,Dec-09,Interim,No Dividend,-,-,-,-
,,28/4/2009,Dec-08,Final,D:RMB 0.0400,Cash,14/5/2009,2009/05/18-2009/06/17,6/8/2009
,,21/8/2008,Dec-08,Interim,No Dividend,-,-,-,-
,,29/4/2008,Dec-07,Final,D:RMB 0.0400,Cash,15/5/2008,2008/05/19-2008/06/17,7/8/2008
,,20/9/2007,Dec-07,Interim,No Dividend,-,-,-,-
,,19/4/2007,Dec-06,Final,D: RMB 0.0400,Cash,7/5/2007,2007/05/09-2007/06/07,13/7/2007
,,29/8/2006,Dec-06,Interim,No Dividend,-,-,-,-
,,20/4/2006,Dec-05,Final,D: RMB 0.0400,Cash,4/5/2006,2006/05/09-2006/06/08,4/8/2006
,,30/8/2005,Dec-05,Interim,No Dividend,-,-,-,-
,,14/4/2005,Dec-04,Final,D: RMB 0.1000,Cash,28/4/2005,2005/04/30-2005/05/31,4/7/2005
,,19/8/2004,Dec-04,Interim,No Dividend,-,-,-,-
,,12/2/2004,Dec-03,Final,D:RMB 0.08,Cash,21/6/2004,2004/06/24-2004/06/28,6/7/2004
,,24/7/2003,Dec-03,Interim,No Dividend,-,-,-,-
,,20/2/2003,Dec-02,Final,D: RMB 0.085,Cash,21/5/2003,2003/05/23-2003/05/27,6/6/2003
,,1/8/2002,Dec-02,Interim,No Dividend,-,-,-,-
,,28/2/2002,Dec-01,Final,D: RMB 0.08,Cash,13/3/2002,2002/03/15-2002/04/16,12/6/2002
,,31/7/2001,Dec-01,Interim,No Dividend,-,-,-,-
,,16/3/2001,Dec-00,Final,No Dividend,-,-,-,-
,,28/8/2000,Dec-00,Interim,No Dividend,-,-,-,-
1071,????????,20/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,25/3/2020,Dec-19,Final,D:RMB 0.1460(equivalent to HKD 0.1600),Cash,3/7/2020,2020/07/07-2020/07/13,27/8/2020
,,23/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,27/3/2019,Dec-18,Final,D:RMB 0.0660(equivalent to HKD 0.0750),Cash,28/6/2019,2019/07/03-2019/07/08,26/8/2019
,,28/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,27/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,26/3/2018,Dec-17,Final,D:RMB 0.0180(equivalent to HKD 0.02178),Cash,28/6/2018,2018/06/30-2018/07/05,23/8/2018
,,27/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,30/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,28/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,28/3/2017,Dec-16,Final,D:RMB 0.1360(equivalent to HKD 0.15591),Cash,4/7/2017,2017/07/06-2017/07/11,31/8/2017
,,30/8/2016,Dec-16,Interim,No Dividend,-,-,-,-
,,29/3/2016,Dec-15,Final,D:RMB 0.3000(equivalent to HKD 0.3548),Cash,2/6/2016,2016/06/06-2016/06/10,29/7/2016
,,27/10/2015,Dec-15,Quarter 3,No Dividend,-,-,-,-
,,21/8/2015,Dec-15,Interim,No Dividend,-,-,-,-
,,30/3/2015,Dec-14,Final,D:RMB 0.2700(equivalent to HKD 0.342326),Cash,28/5/2015,2015/06/01-2015/06/06,24/7/2015
,,29/8/2014,Dec-14,Interim,No Dividend,-,-,-,-
,,21/3/2014,Dec-13,Final,D:RMB 0.2250(equivalent to HKD 0.28275),Cash,4/6/2014,2014/06/06-2014/06/11,30/7/2014
,,21/8/2013,Dec-13,Interim,No Dividend,-,-,-,-
,,27/3/2013,Dec-12,Final,D:RMB 0.0650(equivalent to HKD 0.0820),Cash,27/6/2013,2013/07/02-2013/07/08,25/8/2013
,,30/8/2012,Dec-12,Interim,No Dividend,-,-,-,-
,,28/3/2012,Dec-11,Final,No Dividend,-,-,-,-
,,18/8/2011,Dec-11,Interim,No Dividend,-,-,-,-
,,30/3/2011,Dec-10,Final,No Dividend,-,-,-,-
,,26/8/2010,Dec-10,Interim,No Dividend,-,-,-,-
,,26/3/2010,Dec-09,Final,D:RMB 0.0350,Cash,6/5/2010,2010/05/08-2010/06/08,16/7/2010
,,11/8/2009,Dec-09,Interim,No Dividend,-,-,-,-
,,8/4/2009,Dec-08,Final,No Dividend,-,-,-,-
,,28/8/2008,Dec-08,Interim,No Dividend,-,-,-,-
,,25/3/2008,Dec-07,Final,D: RMB 0.0620,Cash,29/5/2008,2008/05/31-2008/06/30,30/7/2008
,,13/9/2007,Dec-07,Interim,No Dividend,-,-,-,-
,,26/3/2007,Dec-06,Final,D: RMB 0.0620,Cash,10/5/2007,2007/05/12-2007/06/12,28/6/2007
,,25/8/2006,Dec-06,Interim,No Dividend,-,-,-,-
,,24/3/2006,Dec-05,Final,D: RMB 0.0650,Cash,22/6/2006,2006/04/26-2006/05/26,24/4/2006
,,25/8/2005,Dec-05,Interim,No Dividend,-,-,-,-
,,22/3/2005,Dec-04,Final,D: RMB 0.0350,Cash,28/4/2005,2005/05/03-2005/06/02,22/6/2005
,,17/8/2004,Dec-04,Interim,D: RMB 0.0200,Cash,1/9/2004,2004/09/03-2004/09/09,15/10/2004
,,28/3/2004,Dec-03,Final,D: RMB 0.0350,Cash,27/5/2004,2004/05/29-2004/06/28,16/7/2004
,,20/8/2003,Dec-03,Interim,D: RMB 0.0200,Cash,3/9/2003,2003/09/05-2003/09/11,26/9/2003
,,15/4/2003,Dec-02,Final,D: RMB 0.0360,Cash,22/5/2003,2003/05/25-2003/06/23,18/7/2003
,,15/8/2002,Dec-02,Interim,D: RMB 0.0200,Cash,30/8/2002,2002/09/03-2002/09/09,30/10/2002
,,25/2/2002,Dec-01,Final,D: RMB 0.1700,Cash,13/3/2002,2002/03/15-2002/04/15,26/4/2002
,,7/8/2001,Dec-01,Interim,D: RMB 0.0200,Cash,20/8/2001,2001/08/22-2001/08/27,9/11/2001
,,6/3/2001,Dec-00,Final,D: RMB 0.0580,Cash,23/3/2001,2001/03/27-2001/04/25,16/5/2001
,,23/8/2000,Dec-00,Interim,D: RMB 0.0200,Cash,8/9/2000,2000/09/12-2000/10/11,24/10/2000
1072,????,29/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,27/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,28/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,27/3/2020,Dec-19,Final,D:RMB 0.2050(equivalent to HKD 0.2242653),Cash,9/7/2020,2020/07/11-2020/07/16,24/8/2020
,,29/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,30/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,29/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,31/3/2019,Dec-18,Final,D:RMB 0.1100(equivalent to HKD 0.1252385),Cash,10/7/2019,2019/07/12-2019/07/17,26/8/2019
,,30/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,30/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,27/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,29/3/2018,Dec-17,Final,No Dividend,-,-,-,-
,,27/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,30/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,28/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,24/3/2017,Dec-16,Final,No Dividend,-,-,-,-
,,21/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
,,26/8/2016,Dec-16,Interim,No Dividend,-,-,-,-
,,29/3/2016,Dec-15,Final,D:RMB 0.0600(equivalent to HKD 0.071262),Cash,6/6/2016,2016/06/08-2016/06/13,22/7/2016
,,29/10/2015,Dec-15,Quarter 3,No Dividend,-,-,-,-
,,28/8/2015,Dec-15,Interim,No Dividend,-,-,-,-
,,29/4/2015,Dec-15,Quarter 1,No Dividend,-,-,-,-
,,27/3/2015,Dec-14,Final,D:RMB 0.0900 (equivalent to HKD 0.1141),Cash,30/6/2015,2015/07/03-2015/07/08,25/8/2015
,,30/10/2014,Dec-14,Quarter 3,No Dividend,-,-,-,-
,,29/8/2014,Dec-14,Interim,No Dividend,-,-,-,-
,,29/4/2014,Dec-14,Quarter 1,No Dividend,-,-,-,-
,,11/3/2014,Dec-13,Final,D:RMB 0.1800(equivalent to HKD 0.2266),Cash,2/5/2014,2014/05/06-2014/05/11,30/5/2014
,,30/10/2013,Dec-13,Quarter 3,No Dividend,-,-,-,-
,,28/8/2013,Dec-13,Interim,No Dividend,-,-,-,-
,,25/4/2013,Dec-13,Quarter 1,No Dividend,-,-,-,-
,,27/3/2013,Dec-12,Final,D:RMB 0.1100(equivalent to HKD 0.1378),Cash,28/5/2013,2013/05/30-2013/06/03,23/7/2013
,,26/10/2012,Dec-12,Quarter 3,No Dividend,-,-,-,-
,,21/8/2012,Dec-12,Interim,No Dividend,-,-,-,-
,,29/3/2012,Dec-11,Final,D:RMB 0.1600,Cash,21/5/2012,2012/05/23-2012/05/28,16/7/2012
,,23/8/2011,Dec-11,Interim,No Dividend,-,-,-,-
,,30/3/2011,Dec-10,Final,D:RMB 0.1300,Cash,14/4/2011,2011/04/16-2011/05/17,30/6/2011
,,25/8/2010,Dec-10,Interim,No Dividend,-,-,-,-
,,16/4/2010,Dec-09,Final,D:RMB 0.1600,Cash,17/5/2010,2010/05/19-2010/06/18,23/7/2010
,,16/4/2010,Dec-09,Final,B:10-for-10,Scrip,17/5/2010,2010/05/19-2010/06/18,23/7/2010
,,27/8/2009,Dec-09,Interim,No Dividend,-,-,-,-
,,8/4/2009,Dec-08,Final,D:RMB 0.0200,Cash,22/5/2009,2009/05/26-2009/06/25,25/8/2009
,,21/8/2008,Dec-08,Interim,No Dividend,-,-,-,-
,,30/3/2008,Dec-07,Final,D: RMB 0.2400,Cash,14/4/2008,2008/04/16-2008/05/16,15/7/2008
,,11/9/2007,Dec-07,Interim,No Dividend,-,-,-,-
,,2/4/2007,Dec-06,Final,D: RMB 0.2000,Cash,10/5/2007,2007/05/12-2007/06/12,8/8/2007
,,22/8/2006,Dec-06,Interim,No Dividend,-,-,-,-
,,20/4/2006,Dec-05,Final,D: RMB 0.5000,Cash,12/5/2006,2006/05/16-2006/06/15,18/7/2006
,,21/3/2005,Dec-04,Final,D: RMB 0.1200,Cash,8/4/2005,2005/04/12-2005/05/12,1/6/2005
,,25/8/2004,Dec-04,Interim,No Dividend,-,-,-,-
,,19/3/2004,Dec-03,Final,No Dividend,-,-,-,-
,,12/8/2003,Dec-03,Interim,No Dividend,-,-,-,-
,,1/4/2003,Dec-02,Final,No Dividend,-,-,-,-
,,16/8/2002,Dec-02,Interim,No Dividend,-,-,-,-
,,9/4/2002,Dec-01,Final,No Dividend,-,-,-,-
,,16/8/2001,Dec-01,Interim,No Dividend,-,-,-,-
,,6/4/2001,Dec-00,Final,No Dividend,-,-,-,-
,,25/8/2000,Dec-00,Interim,No Dividend,-,-,-,-
1088,????,26/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,28/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,24/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,27/3/2020,Dec-19,Final,D:RMB 1.2600 (equivalent to HKD 1.378707),Cash,4/6/2020,2020/06/06-2020/06/12,31/7/2020
,,28/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,23/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,25/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,22/3/2019,Dec-18,Final,D:RMB 0.8800,Cash,27/6/2019,2019/06/29-2019/07/05,9/8/2019
,,30/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,24/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,27/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,23/3/2018,Dec-17,Final,D:RMB 0.9100,Cash,28/6/2018,2018/06/30-2018/07/06,3/8/2018
,,27/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,25/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,28/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,17/3/2017,Dec-16,Final,D:RMB 0.4600,Cash,29/6/2017,2017/07/03-2017/07/07,22/8/2017
,,17/3/2017,Dec-16,Final,SD:RMB 2.5100,Cash,29/6/2017,2017/07/03-2017/07/07,22/8/2017
,,28/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
,,26/8/2016,Dec-16,Interim,No Dividend,-,-,-,-
,,29/4/2016,Dec-16,Quarter 1,No Dividend,-,-,-,-
,,24/3/2016,Dec-15,Final,D:RMB 0.3200(equivalent to HKD 0.377590),Cash,23/6/2016,2016/06/27-2016/07/01,29/7/2016
,,23/10/2015,Dec-15,Quarter 3,No Dividend,-,-,-,-
,,21/8/2015,Dec-15,Interim,No Dividend,-,-,-,-
,,24/4/2015,Dec-15,Quarter 1,No Dividend,-,-,-,-
,,20/3/2015,Dec-14,Final,D:RMB 0.7400(equivalent to HKD 0.938110),Cash,4/6/2015,2015/06/08-2015/06/12,10/7/2015
,,24/10/2014,Dec-14,Quarter 3,No Dividend,-,-,-,-
,,22/8/2014,Dec-14,Interim,No Dividend,-,-,-,-
,,25/4/2014,Dec-14,Quarter 1,No Dividend,-,-,-,-
,,28/3/2014,Dec-13,Final,D:RMB 0.9100(equivalent to HKD 1.146096),Cash,3/7/2014,2014/07/07-2014/07/11,8/8/2014
,,25/10/2013,Dec-13,Quarter 3,No Dividend,-,-,-,-
,,23/8/2013,Dec-13,Interim,No Dividend,-,-,-,-
,,26/4/2013,Dec-13,Quarter 1,No Dividend,-,-,-,-
,,22/3/2013,Dec-12,Final,D:RMB 0.9600(equivalent to HKD 1.208520),Cash,27/6/2013,2013/07/01-2013/07/05,2/8/2013
,,26/10/2012,Dec-12,Quarter 3,No Dividend,-,-,-,-
,,24/8/2012,Dec-12,Interim,No Dividend,-,-,-,-
,,23/3/2012,Dec-11,Final,D:RMB 0.9000,Cash,31/5/2012,2012/06/04-2012/06/08,6/7/2012
,,26/8/2011,Dec-11,Interim,No Dividend,-,-,-,-
,,25/3/2011,Dec-10,Final,D:RMB 0.7500,Cash,21/4/2011,2011/04/27-2011/05/27,29/6/2011
,,27/8/2010,Dec-10,Interim,No Dividend,-,-,-,-
,,13/3/2010,Dec-09,Final,D:RMB 0.5300,Cash,17/5/2010,2010/05/19-2010/06/18,20/7/2010
,,28/8/2009,Dec-09,Interim,No Dividend,-,-,-,-
,,27/3/2009,Dec-08,Final,D:RMB 0.4600,Cash,4/5/2009,2009/05/06-2009/06/05,30/6/2009
,,29/8/2008,Dec-08,Interim,No Dividend,-,-,-,-
,,15/3/2008,Dec-07,Final,D: RMB 0.1800,Cash,14/4/2008,2008/04/16-2008/05/15,10/6/2008
,,15/3/2008,Dec-07,Final,SD: RMB 0.3176,Cash,14/4/2008,2008/04/16-2008/05/15,10/6/2008
,,25/10/2007,Dec-07,Special Interim,SD: RMB 0.9286,Cash,12/11/2007,2007/11/14-2007/11/18,7/12/2007
,,19/8/2007,Dec-07,Interim,No Dividend,-,-,-,-
,,23/3/2007,Dec-06,Final,D: RMB 0.3400,Cash,12/4/2007,2007/04/14-2007/05/14,20/6/2007
,,25/8/2006,Dec-06,Interim,No Dividend,-,-,-,-
,,10/3/2006,Dec-05,Final,D: RMB 0.1250,Cash,10/4/2006,2006/04/12-2006/05/12,30/5/2006
,,26/8/2005,Dec-05,Interim,No Dividend,-,-,-,-
1108,??????,29/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,28/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,29/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,31/3/2020,Dec-19,Final,No Dividend,-,-,-,-
,,17/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,30/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,29/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,29/3/2019,Dec-18,Final,No Dividend,-,-,-,-
,,30/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,29/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,27/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,22/3/2018,Dec-17,Final,No Dividend,-,-,-,-
,,27/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,29/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,28/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,30/3/2017,Dec-16,Final,No Dividend,-,-,-,-
,,27/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
,,30/8/2016,Dec-16,Quarter 1,No Dividend,-,-,-,-
,,29/8/2016,Dec-16,Interim,No Dividend,-,-,-,-
,,18/3/2016,Dec-15,Final,No Dividend,-,-,-,-
,,29/10/2015,Dec-15,Quarter 3,No Dividend,-,-,-,-
,,27/8/2015,Dec-15,Interim,No Dividend,-,-,-,-
,,28/4/2015,Dec-15,Quarter 1,No Dividend,-,-,-,-
,,29/3/2015,Dec-14,Final,No Dividend,-,-,-,-
,,28/10/2014,Dec-14,Quarter 3,No Dividend,-,-,-,-
,,27/8/2014,Dec-14,Interim,No Dividend,-,-,-,-
,,28/4/2014,Dec-14,Quarter 1,No Dividend,-,-,-,-
,,28/3/2014,Dec-13,Final,No Dividend,-,-,-,-
,,28/8/2013,Dec-13,Interim,No Dividend,-,-,-,-
,,28/3/2013,Dec-12,Final,No Dividend,-,-,-,-
,,28/8/2012,Dec-12,Interim,No Dividend,-,-,-,-
,,28/3/2012,Dec-11,Final,No Dividend,-,-,-,-
,,29/8/2011,Dec-11,Interim,No Dividend,-,-,-,-
,,29/3/2011,Dec-10,Final,No Dividend,-,-,-,-
,,27/8/2010,Dec-10,Interim,No Dividend,-,-,-,-
,,31/3/2010,Dec-09,Final,No Dividend,-,-,-,-
,,27/8/2009,Dec-09,Interim,No Dividend,-,-,-,-
,,27/3/2009,Dec-08,Final,No Dividend,-,-,-,-
,,24/8/2008,Dec-08,Interim,No Dividend,-,-,-,-
,,19/4/2008,Dec-07,Final,No Dividend,-,-,-,-
,,12/9/2007,Dec-07,Interim,No Dividend,-,-,-,-
,,26/4/2007,Dec-06,Final,No Dividend,-,-,-,-
,,28/8/2006,Dec-06,Interim,No Dividend,-,-,-,-
,,25/4/2006,Dec-05,Final,No Dividend,-,-,-,-
