Indexcd,Trddt,Idxret
HSI,6/11/2017,-0.000238
HSI,7/11/2017,0.013902
HSI,8/11/2017,-0.002992
HSI,9/11/2017,0.007921
HSI,10/11/2017,-0.000537
HSI,13/11/2017,0.002104
HSI,14/11/2017,-0.00103
HSI,15/11/2017,-0.010306
HSI,16/11/2017,0.005791
HSI,17/11/2017,0.006213
HSI,20/11/2017,0.002098
HSI,21/11/2017,0.019062
HSI,22/11/2017,0.006218
HSI,23/11/2017,-0.009851
HSI,24/11/2017,0.005331
HSI,27/11/2017,-0.006031
HSI,28/11/2017,-0.00018
HSI,29/11/2017,-0.001921
HSI,30/11/2017,-0.015072
HSI,1/12/2017,-0.003534
HSI,4/12/2017,0.002203
HSI,5/12/2017,-0.010141
HSI,6/12/2017,-0.021426
HSI,7/12/2017,0.002777
HSI,8/12/2017,0.011895
HSI,11/12/2017,0.011363
HSI,12/12/2017,-0.005918
HSI,13/12/2017,0.014872
HSI,14/12/2017,-0.001907
HSI,15/12/2017,-0.010912
HSI,18/12/2017,0.007013
HSI,19/12/2017,0.006996
HSI,20/12/2017,-0.000669
HSI,21/12/2017,0.004548
HSI,22/12/2017,0.007183
HSI,27/12/2017,0.000664
HSI,28/12/2017,0.008989
HSI,29/12/2017,0.001856
HSI,2/1/2018,0.019926
HSI,3/1/2018,0.001496
HSI,4/1/2018,0.005744
HSI,5/1/2018,0.002543
HSI,8/1/2018,0.002755
HSI,9/1/2018,0.003621
HSI,10/1/2018,0.002009
HSI,11/1/2018,0.001502
HSI,12/1/2018,0.009388
HSI,15/1/2018,-0.002345
HSI,16/1/2018,0.018057
HSI,17/1/2018,0.002465
HSI,18/1/2018,0.004331
HSI,19/1/2018,0.004139
HSI,22/1/2018,0.004295
HSI,23/1/2018,0.016586
HSI,24/1/2018,0.00085
HSI,25/1/2018,-0.009231
HSI,26/1/2018,0.015302
HSI,29/1/2018,-0.005647
HSI,30/1/2018,-0.010908
HSI,31/1/2018,0.008586
HSI,1/2/2018,-0.007455
HSI,2/2/2018,-0.001235
HSI,5/2/2018,-0.010937
HSI,6/2/2018,-0.051164
HSI,7/2/2018,-0.008897
HSI,8/2/2018,0.004223
HSI,9/2/2018,-0.030995
HSI,12/2/2018,-0.00162
HSI,13/2/2018,0.012896
HSI,14/2/2018,0.022657
HSI,15/2/2018,0.019657
HSI,20/2/2018,-0.007771
HSI,21/2/2018,0.018082
HSI,22/2/2018,-0.014832
HSI,23/2/2018,0.009736
HSI,26/2/2018,0.007402
HSI,27/2/2018,-0.0073
HSI,28/2/2018,-0.013558
HSI,1/3/2018,0.006469
HSI,2/3/2018,-0.014843
HSI,5/3/2018,-0.022792
HSI,6/3/2018,0.02089
HSI,7/3/2018,-0.010285
HSI,8/3/2018,0.015154
HSI,9/3/2018,0.011146
HSI,12/3/2018,0.019297
HSI,13/3/2018,0.000225
HSI,14/3/2018,-0.005267
HSI,15/3/2018,0.003375
HSI,16/3/2018,-0.001241
HSI,19/3/2018,0.000374
HSI,20/3/2018,0.001148
HSI,21/3/2018,-0.004292
HSI,22/3/2018,-0.010933
HSI,23/3/2018,-0.024517
HSI,26/3/2018,0.007901
HSI,27/3/2018,0.007924
HSI,28/3/2018,-0.024952
HSI,29/3/2018,0.00236
HSI,3/4/2018,0.002882
HSI,4/4/2018,-0.021915
HSI,6/4/2018,0.011052
HSI,9/4/2018,0.012888
HSI,10/4/2018,0.016512
HSI,11/4/2018,0.005499
HSI,12/4/2018,-0.00215
HSI,13/4/2018,-0.000743
HSI,16/4/2018,-0.015995
HSI,17/4/2018,-0.00834
HSI,18/4/2018,0.007368
HSI,19/4/2018,0.014007
HSI,20/4/2018,-0.009447
HSI,23/4/2018,-0.005389
HSI,24/4/2018,0.012621
HSI,25/4/2018,-0.010056
HSI,26/4/2018,-0.010567
HSI,27/4/2018,0.009097
HSI,30/4/2018,0.01743
HSI,2/5/2018,-0.002745
HSI,3/5/2018,-0.013361
HSI,4/5/2018,-0.012762
HSI,7/5/2018,0.002264
HSI,8/5/2018,0.013621
HSI,9/5/2018,0.004385
HSI,10/5/2018,0.008943
HSI,11/5/2018,0.010154
HSI,14/5/2018,0.013464
HSI,15/5/2018,-0.012335
HSI,16/5/2018,-0.001343
HSI,17/5/2018,-0.005402
HSI,18/5/2018,0.003418
HSI,21/5/2018,0.006005
HSI,23/5/2018,-0.018208
HSI,24/5/2018,0.00309
HSI,25/5/2018,-0.005604
HSI,28/5/2018,0.006676
HSI,29/5/2018,-0.009992
HSI,30/5/2018,-0.014033
HSI,31/5/2018,0.0137
HSI,1/6/2018,0.000799
HSI,4/6/2018,0.016564
HSI,5/6/2018,0.00308
HSI,6/6/2018,0.005327
HSI,7/6/2018,0.008111
HSI,8/6/2018,-0.017594
HSI,11/6/2018,0.003407
HSI,12/6/2018,0.001267
HSI,13/6/2018,-0.01215
HSI,14/6/2018,-0.009275
HSI,15/6/2018,-0.004293
HSI,19/6/2018,-0.027758
HSI,20/6/2018,0.007738
HSI,21/6/2018,-0.013474
HSI,22/6/2018,0.001456
HSI,25/6/2018,-0.01286
HSI,26/6/2018,-0.002762
HSI,27/6/2018,-0.018183
HSI,28/6/2018,0.004975
